domain,field_name,rule,message,severity
AE,AE_AESTDAT,. <= today(),Start Date must not be in the future.,error
AE,AE_AEENDAT,. >= ${AE_AESTDAT},Start Date must be before End Date,error
AE,AE_AEOUT,. = 'RECOVERED_RESOLVED' and ${AE_AEONGO} = 'N' or . = 'RECOVERED_RESOLVED_WITH_SEQUELAE_AE' and ${AE_AEONGO} = 'N' or . = 'FATAL' and ${AE_AEONGO} = 'N'  or . = 'NOT_RECOVERED_NOT_RESOLVED' and ${AE_AEONGO} = 'Y' or . = 'RECOVERING_RESOLVING' and ${AE_AEONGO} = 'Y' or . = 'UNKNOWN' and ${AE_AEONGO} = 'Y',Please review the Outcome based on the Ongoing status.,error
CM,CM_CMSTDD,"regex(., '(0[1-9]|[12][0-9]|3[01])') and string-length(.) = 2",Must be 01-31.,error
CM,CM_CMENDAT,${CM_CMSTDAT} <= . and . <= today(),Start Date must be before End Date and End Date must not be in the future.,error
VS,VS_HORIZONTAL_VSDAT,. <= today(),Date must not be in the future.,error
LB,LB_CENTRAL_LBDAT,. <= today(),Date must not be in the future.,error
LB,LB_CENTRAL_LBTIM,"regex(., '([01][0-9]|2[0-3]):[0-5][0-9]') and string-length(.) = 5",Time must be in 24 hr format,error
DD,DD_DTHDAT,.<=${DD_DDDAT},Death Date must not be after Collection Date,error
VS,SYSBP,value >= 50 AND value <= 300,Systolic BP: expected 50-300 mmHg,warning
VS,DIABP,value >= 20 AND value <= 200,Diastolic BP: expected 20-200 mmHg,warning
VS,SYSBP,SYSBP > DIABP,Systolic must be greater than Diastolic,error
VS,PULSE,value >= 30 AND value <= 250,Pulse: expected 30-250 bpm,warning
VS,TEMP,value >= 34 AND value <= 43,Temperature: expected 34-43 °C,warning
VS,RESP,value >= 6 AND value <= 60,Respiratory Rate: expected 6-60,warning
VS,WEIGHT,value >= 20 AND value <= 300,Weight: expected 20-300 kg,warning
VS,HEIGHT,value >= 50 AND value <= 250,Height: expected 50-250 cm,warning
DM,AGE,value >= 0 AND value <= 120,Age: expected 0-120 years,warning
AE,AETERM,AETERM IS NOT NULL,Adverse Event term is required,error
CM,CMTRT,CMTRT IS NOT NULL,Medication name is required,error
